,R_train,y,Shapiro_p
0,1.0,0.0,2.5205973918328295e-13
1,1.0,1.0,3.330185800467928e-41
2,4.0,0.0,0.35407915711402893
3,4.0,1.0,0.015737054869532585
4,7.0,0.0,0.3678753972053528
5,7.0,1.0,5.311848738642766e-09
